{[ mot-cle ] [ synonyme ]}
door; porte
door; panneau de bois
door; battant
door; dégagement
door; entrée
door; gorge
door; issue
door; porche
door; portail
door; portiere
door; portillon
window; fenetre
window; hublot
window; soupirail
window; vasistas
window; vitre
window; carreau
book; livre
book; bouquin
book; tome
open; ouvrir
open; défoncer
open; enfoncer
book; ecrit
book; brochure
book; grimoire
book; manuel
book; ouvrage
book; registre
book; opuscule
book; livret
sword; epee
sword; glaive
sword; truc pointu
sword; arme
sword; sabre
sword; katana
sword; claymore
sword; lame;
close; fermer
close; clore
close; refermer;
examine; regarder
examine; observer
examine; inspecter
examine; detailler
examine; examiner
read; lire
read; dechiffrer
glass; verre
glass; chope
glass; chopine
glass; boisson
table; table
table; gueridon
tree; arbre
tree; bois
axe; hache
